game_class	game_id	created_date	opening	white_username	black_username	game_result	start_time	end_time	termination	white_elo	black_elo	TimeControl	winner_side	winner_user	opponent_elo	your_elo	elo_category	opening_name
blitz	https://www.chess.com/game/live/123415882112	2025.03.01	"0    D40
Name: ECO, dtype: object"	jay_fh	HamilkarBarkas	0-1	08:18:12	08:21:47	HamilkarBarkas won by resignation	1753	1749	180+2	black	HamilkarBarkas	1749	1753	Similar	Benoni Defense: Hawk Variation
blitz	https://www.chess.com/game/live/123416306094	2025.03.01	"0    D44
Name: ECO, dtype: object"	jay_fh	n8shade	0-1	08:37:32	08:43:51	n8shade won by checkmate	1746	1790	180+2	black	n8shade	1790	1746	Similar	Benoni Defense: Franco-Sicilian Hybrid
blitz	https://www.chess.com/game/live/123416793798	2025.03.01	"0    B00
Name: ECO, dtype: object"	sonyb2003	jay_fh	1-0	08:59:02	09:06:47	sonyb2003 won by resignation	1806	1739	180+2	white	sonyb2003	1806	1739	Stronger	Nimzowitsch Defense: Colorado Countergambit
blitz	https://www.chess.com/game/live/123421258970	2025.03.01	"0    D25
Name: ECO, dtype: object"	jay_fh	lllsand	1-0	11:54:48	12:00:45	jay_fh won by resignation	1747	1717	180+2	white	jay_fh	1717	1747	Similar	Benoni Defense: Hawk Variation
blitz	https://www.chess.com/game/live/123421426688	2025.03.01	"0    A02
Name: ECO, dtype: object"	JosephW_CT	jay_fh	0-1	12:00:49	12:08:53	jay_fh won by resignation	1741	1755	180+2	black	jay_fh	1741	1755	Similar	Bird Opening
blitz	https://www.chess.com/game/live/123421685342	2025.03.01	"0    D26
Name: ECO, dtype: object"	jay_fh	JeevanRai22	0-1	12:10:05	12:17:41	JeevanRai22 won by resignation	1745	1687	180+2	black	JeevanRai22	1687	1745	Stronger	Queen's Pawn Game
blitz	https://www.chess.com/game/live/123431279874	2025.03.01	"0    D35
Name: ECO, dtype: object"	sttapi	jay_fh	1/2-1/2	17:14:58	17:21:35	Game drawn by agreement	1696	1744	180+2	draw	draw	1696	1744	Similar	Benoni Defense: Franco-Sicilian Hybrid
blitz	https://www.chess.com/game/live/123431498120	2025.03.01	"0    B13
Name: ECO, dtype: object"	jay_fh	vince_russel	1-0	17:21:39	17:23:37	jay_fh won by resignation	1752	1753	180+2	white	jay_fh	1753	1752	Similar	Benoni Defense: Hawk Variation
blitz	https://www.chess.com/game/live/123431580186	2025.03.01	"0    A13
Name: ECO, dtype: object"	vince_russel	jay_fh	0-1	17:24:11	17:30:38	jay_fh won on time	1745	1760	180+2	black	jay_fh	1745	1760	Similar	Benoni Defense: Franco-Sicilian Hybrid
blitz	https://www.chess.com/game/live/123432015472	2025.03.01	"0    D38
Name: ECO, dtype: object"	jay_fh	QueensTamer	1-0	17:37:47	17:42:50	jay_fh won by resignation	1768	1750	180+2	white	jay_fh	1750	1768	Similar	Benoni Defense: Hawk Variation
blitz	https://www.chess.com/game/live/123432177834	2025.03.01	"0    C11
Name: ECO, dtype: object"	KalininAA	jay_fh	0-1	17:42:57	17:46:12	jay_fh won by resignation	1750	1776	180+2	black	jay_fh	1750	1776	Similar	French Defense: Steinitz Variation
blitz	https://www.chess.com/game/live/123432286362	2025.03.01	"0    D12
Name: ECO, dtype: object"	jay_fh	behrozasadi	0-1	17:46:24	17:52:24	behrozasadi won by resignation	1768	1781	180+2	black	behrozasadi	1781	1768	Similar	Queen's Pawn Game
blitz	https://www.chess.com/game/live/123448028994	2025.03.02	"0    C01
Name: ECO, dtype: object"	November79	jay_fh	0-1	05:16:33	05:21:07	jay_fh won by resignation	1740	1776	180+2	black	jay_fh	1740	1776	Similar	French Defense: Exchange Variation
blitz	https://www.chess.com/game/live/123448114348	2025.03.02	"0    E61
Name: ECO, dtype: object"	jay_fh	sidraxkrish	1-0	05:21:14	05:29:13	jay_fh won on time	1786	1842	180+2	white	jay_fh	1842	1786	Stronger	Benoni Defense: Hawk Variation
blitz	https://www.chess.com/game/live/123448261710	2025.03.02	"0    C11
Name: ECO, dtype: object"	GMTrombinivga	jay_fh	0-1	05:29:20	05:34:56	jay_fh won by resignation	1854	1796	180+2	black	jay_fh	1854	1796	Stronger	Rat Defense: Small Center Defense
blitz	https://www.chess.com/game/live/123448369988	2025.03.02	"0    D45
Name: ECO, dtype: object"	jay_fh	Fulcanelli1	1-0	05:35:16	05:43:03	jay_fh won on time	1804	1782	180+2	white	jay_fh	1782	1804	Similar	Queen's Pawn Game
blitz	https://www.chess.com/game/live/123448517488	2025.03.02	"0    C01
Name: ECO, dtype: object"	avien17	jay_fh	0-1	05:43:16	05:49:13	jay_fh won on time	1785	1812	180+2	black	jay_fh	1785	1812	Similar	French Defense: Exchange Variation
blitz	https://www.chess.com/game/live/123455672700	2025.03.02	"0    E61
Name: ECO, dtype: object"	jay_fh	kvdrik	0-1	11:01:15	11:07:19	kvdrik won by resignation	1802	1755	180+2	black	kvdrik	1755	1802	Similar	Benoni Defense: Hawk Variation
blitz	https://www.chess.com/game/live/123457901436	2025.03.02	"0    E06
Name: ECO, dtype: object"	AlZiHD	jay_fh	1-0	12:22:54	12:31:29	AlZiHD won by resignation	1825	1794	180+2	white	AlZiHD	1825	1794	Similar	Benoni Defense: Franco-Sicilian Hybrid
blitz	https://www.chess.com/game/live/123458835912	2025.03.02	"0    E61
Name: ECO, dtype: object"	jay_fh	SuperSecret98765	0-1	12:55:00	13:02:41	SuperSecret98765 won by resignation	1786	1785	180+2	black	SuperSecret98765	1785	1786	Similar	Benoni Defense: Hawk Variation
